name,held_out,orig_t_mm,orig_r_deg,all16_t_mm,all16_r_deg,loo_t_mm,loo_r_deg,b3_loo_t_mm,b3_loo_r_deg,reproj_centre_px,candidate,wrist_reversed,top_reversed,skew_ms,top_centre_u,top_centre_v,top_offset_px,top_px_per_square,top_bbox_w,top_bbox_h,top_board_dist_m,top_tilt_deg,wrist_centre_u,wrist_centre_v,wrist_offset_px,wrist_px_per_square,wrist_board_dist_m,wrist_tilt_deg,board_x,board_y,board_z,board_xy_from_base_m,board_3d_from_base_m,board_normal_tilt_from_world_z_deg,wrist_cam_x,wrist_cam_y,wrist_cam_z,wrist_reach_xy_m,wrist_reach_3d_m,res_world_dx_mm,res_world_dy_mm,res_world_dz_mm,res_cam_dx_mm,res_cam_dy_mm,res_cam_dz_mm,res_along_ray_mm,res_perp_ray_mm
pair01,False,18.196684844005993,1.2443678058460481,17.787364097793535,1.1980629108306733,18.97318837097977,1.2779403650907455,18.97318837097977,1.2779403650907455,6.697711194202342,2,True,False,20.161819,1233.7027646019346,948.2506297278026,509.7241445604075,32.12207067385822,259.477783203125,209.66571044921875,0.9286467491533708,27.465237706323872,191.15973275805277,161.4871126205202,131.447640800976,18.56431145284986,0.4150243001772356,3.2005326960686715,0.19064678054741768,0.13823196190430448,-0.03968724744336356,0.23548730374482682,0.23880818209315838,0.406723498541689,0.1755776940885601,0.006352831471561671,0.3535378628016508,0.1756925870068571,0.3947871648920731,17.634846428876166,4.319479737097176,-1.2139297932073356,-4.28536760281572,-14.935657853154108,9.47000994267321,2.8108615895211653,17.978275680293443
pair02,False,8.127385547008592,0.4142654869721504,8.431251898899271,0.452708851070071,8.993335358826009,0.48289463779645425,8.993335358826009,0.48289463779645425,1.0417805354836556,1,False,True,27.457826,1202.4828559027778,744.4819917224702,324.90005564100755,28.438853978162644,238.567626953125,179.45050048828125,0.9576839310840253,28.308301111866548,255.98260861351378,153.68523576524524,69.66222583800392,24.048413171617646,0.28868523155364256,19.530239579955165,0.33733775631332413,0.15102463791828352,-0.03838218318059439,0.369601411107772,0.3715890136677415,0.5614155102946495,0.23591903543224296,0.049846320428047514,0.21224972628400415,0.24112744957697266,0.3212357284723015,-2.6505600982349717,-7.631567920619364,-0.8877488768465058,7.642642783372011,2.7030317729217477,-0.581400335458651,1.3186010254020955,8.01970617700753
pair03,False,19.357751035895745,1.178694572859915,19.68076880998384,1.2195149788871622,20.99282006398272,1.3008234215152938,20.99282006398272,1.3008234215152938,2.6598638809763404,3,True,True,6.15413,1169.7296878875247,600.0843738374256,208.92178908661666,25.792919510545108,222.332763671875,152.973876953125,0.9970783586174728,28.546967495183228,282.59417603507876,133.84453691755022,58.05810737845474,20.640540506500166,0.33187598728657464,20.101555838389004,0.4595148816108582,0.16864809994960206,-0.03679649927749083,0.489485554473727,0.4908666727305189,1.0736691492870465,0.32435340222128706,0.06510128313945011,0.2480738258796695,0.3308221676353126,0.41350203105366173,-8.398497001992993,-17.42128096030432,-0.8286995700337307,17.425542207533912,7.672962143894352,-3.4926574237304795,-0.17648933103564196,19.356946471066966
pair04,True,18.799371304626305,1.0674175157330812,19.200504451618443,1.1141308199381696,20.48053808172632,1.1884133769915843,20.48053808172632,1.1884133769915843,6.968175842213495,1,False,True,14.133176,1221.83689468626,443.8409879169767,244.86413886287346,23.48931742332477,215.7457275390625,131.2198486328125,1.0747082450336078,28.67595861926971,188.26274992927674,106.9676977490622,150.59471992672212,20.82672055289349,0.3484862208821312,20.8028528626577,0.6091505267451965,0.10896799171297054,-0.032584223990053104,0.6188201575998542,0.6196774314955664,0.8422528397249325,0.488724773886105,-0.09025637443574185,0.2267417024532444,0.4969890519280171,0.5462690887902271,-13.310505490737173,-13.252124789299435,-0.7924604716311734,13.252393889754357,12.01263420513453,-5.786798518493645,-3.6727301658105995,18.43712056093228
pair05,False,13.212511608043947,0.7994772745173427,13.616786515055038,0.8402129412767605,14.52457228272543,0.896233748393938,14.52457228272543,0.896233748393938,8.003639819315485,3,True,True,24.07422,1370.9804784381201,438.17232695079986,392.0962875029179,23.830951913427935,231.302978515625,137.4940185546875,1.1099543984297624,28.554046187777118,293.7466575985863,124.06168401808966,59.64395180085269,18.51304513566333,0.3597747845024185,26.206041525546482,0.6126020585286066,-0.01986162157703529,-0.032204993343298724,0.612923948076069,0.6137694418276277,0.7289762559391191,0.4082034647384567,-0.08375671992771763,0.25689105787000976,0.41670763942784944,0.48952862262701585,-12.764479265310463,-3.121072719056983,1.3774749219185312,3.088414552436185,10.574966545779734,-7.293986639735281,-6.553220209082944,11.472827370965007
pair06,False,8.757694903320218,0.45269366884109796,9.070873486158685,0.48597955568436785,9.675598385235917,0.5183827648202439,9.675598385235917,0.5183827648202439,3.637085555414432,3,True,True,31.855575,1405.7177404978918,583.9662683880518,428.91175469823133,26.19979717834541,244.9251708984375,148.53594970703125,1.0502413947364735,28.21085820802482,260.0327734568762,107.98697807675316,92.36948307880235,21.957420966840875,0.3095120042514591,26.904237366547097,0.47095879950388003,-0.026111497233443234,-0.035017833545432545,0.4716820975168636,0.47298017906052214,0.638568686160858,0.27808830825574304,-0.036101796113619924,0.20684751806521562,0.280421908686127,0.3484570886076365,-8.34081485393176,1.2473028962032284,2.3605641438425584,-1.2915516556592195,6.242135713407717,-6.005402240966435,-5.6907096781495925,6.656804291749561
pair07,False,15.032130286592803,1.1212207305239625,14.761871578591265,1.080581078973039,15.745996350497373,1.1526279350815605,15.745996350497373,1.1526279350815605,5.212896766594815,3,True,True,5.66484,1444.7163725353423,771.8348911830357,532.7456149115554,29.301918897422564,262.56396484375,177.31573486328125,1.0009911392190018,27.678879593242414,293.9645797487289,117.71572918362088,65.22350836323372,17.979083434533365,0.3939875251532782,11.119524369169557,0.3149000084429002,-0.03135446649697783,-0.03912509411739821,0.31645713435890294,0.3188665722153139,0.24586263556455523,0.171324853920666,-0.02726083072451055,0.3277476183136086,0.1734801385252155,0.3708286123979254,6.074111854098091,13.611628943843101,-1.9477329468228222,-13.573895189850768,-4.338274211750093,4.784734808922189,-1.3059908545551255,14.9752906095648
pair08,True,21.02715286200535,1.5377626110814158,20.678306118569335,1.4918886404676222,22.056859859807197,1.5913521051514017,22.056859859807197,1.5913521051514017,6.102536043574788,1,False,True,15.887242,1445.6039942181299,906.9379514663939,612.6595490194464,31.37539594551862,273.6829833984375,192.451171875,0.9746064289336309,27.24732124853468,319.1249743264819,147.44363463871062,29.410229370623984,20.249943688003285,0.3453515452046802,13.274013443502291,0.21592223852392578,-0.01452673576215098,-0.040281600103856736,0.21641034896946693,0.2201273414367545,0.2177429739393513,0.10606621674418103,-0.020053271999974864,0.2870848637423973,0.10794524562169731,0.3067081593996472,14.331521501017825,15.023248822919777,-3.3242508558533057,-14.956712049673392,-10.953942178376868,9.92215061859419,0.3899336367683121,21.023537029744894
pair09,False,23.37775243939318,1.545852250453513,23.232982809258086,1.5069932336119507,24.781848329875213,1.6074639557884034,24.781848329875213,1.6074639557884034,9.018891779924372,2,True,False,22.850149,1617.0068146236358,815.3569539388021,705.2364568997046,29.58586738509135,267.6123046875,179.12469482421875,1.04283487735992,27.392244580750077,340.87481665232826,142.32479398212735,39.38625115549697,18.967476788424356,0.3560228467601745,25.542329931126726,0.27724047284001,-0.1517413532995444,-0.039896071676814346,0.31605018285349795,0.31855833785504817,0.24192493832020118,0.10823985091383188,-0.08136869620548079,0.2654541311023969,0.1354131826966207,0.2979976942316113,3.1138478437226222,22.354108157198237,-6.092381243814504,-22.251429325881464,0.28948940344773333,7.163057863660568,-3.8990452179325668,23.050309227992425
pair10,False,17.978669754025614,1.09477778730995,17.91166001726853,1.0743183298835295,19.105770685086316,1.145947442465757,19.105770685086316,1.145947442465757,8.330243956070106,1,False,True,14.411863,1577.929904513889,684.012681749132,620.3351873195434,27.840819487585687,262.198486328125,163.14501953125,1.0672319408037252,27.699950391730994,217.22281416635664,131.40113745795355,113.90829503299489,21.79792497997935,0.3316243912472127,24.749296579969343,0.3835050111070748,-0.1456765668344055,-0.0326516684063944,0.4102410945637901,0.41153843941801804,0.6552968443944809,0.20874255683857756,-0.1547028404884913,0.249042044395396,0.25981998362465186,0.3599004914797322,-4.268300652129714,17.371453806271088,1.801879109134208,-17.401443813121645,3.028090906807484,-3.3545468849303255,-10.25913564087936,14.764237265309516
