batch,model,model_id,backend,effort,tier,arm,trial,session,n_motion_calls,success,agent_verdict,task_started_s,report_start_s,first_report_s,task_complete_s,time_min,time_first_report_min,session_min,n_report_writes,robot_calls_after_first_report,requests,max_req_input,tokens_input,tokens_cached,tokens_cache_write,tokens_output,tokens_reasoning,tokens_k,cost_usd,rollout
twopairs_full_low_6astra_right,GPT-6 Astra low,gpt-6-astra,codex,low,default,right,02,20260910_162606_paper_twopairs_full_low_6astra_right_02,52,1,success,1789082769.434,1789083909.879483,1789083909.879483,1789083946.14,19.007,19.007,19.77,1,0,120,100414,7706955,7575552,0,13454,2966,7720.409,9.5623,<HOME>/.codex/sessions/2026/09/10/rollout-2026-09-10T16-26-09-01a08da4-97bf-7961-8914-b2d1687b7ec8.jsonl
twopairs_full_low_6astra_right,GPT-6 Astra low,gpt-6-astra,codex,low,default,right,05,20260910_164636_paper_twopairs_full_low_6astra_right_05,32,1,success,1789083999.124,1789084655.193849,1789084655.193849,1789084686.11,10.934,10.934,11.5,1,0,76,74788,3768411,3692544,0,7396,624,3775.807,4.821,<HOME>/.codex/sessions/2026/09/10/rollout-2026-09-10T16-46-39-01a08db7-5b3f-7ab0-bafe-8e89a02fe30b.jsonl
twopairs_full_medium_6astra,GPT-6 Astra medium,gpt-6-astra,codex,medium,default,left,01,20260910_165416_paper_twopairs_full_medium_6astra_01,22,1,success,1789084458.568,1789084838.215043,1789084838.215043,1789084871.715,6.327,6.327,7.05,1,0,42,66245,1837540,1762944,0,4954,479,1842.494,2.7566,<HOME>/.codex/sessions/2026/09/10/rollout-2026-09-10T16-54-18-01a08dbe-5df5-7043-aa9c-bb94940a69d3.jsonl
twopairs_full_medium_6astra,GPT-6 Astra medium,gpt-6-astra,codex,medium,default,left,03,20260910_170151_paper_twopairs_full_medium_6astra_03,26,1,success,1789084915.63,1789085442.592743,1789085442.592743,1789085473.239,8.783,8.783,9.55,1,0,49,76747,2506726,2434176,0,6106,972,2512.832,3.465,<HOME>/.codex/sessions/2026/09/10/rollout-2026-09-10T17-01-55-01a08dc5-5759-7fc2-9f0a-82b428cece02.jsonl
twopairs_full_medium_6astra,GPT-6 Astra medium,gpt-6-astra,codex,medium,default,left,04,20260910_171245_paper_twopairs_full_medium_6astra_04,23,1,success,1789085567.947,1789086023.886263,1789086023.886263,1789086053.834,7.599,7.599,8.32,1,0,67,64245,2948961,2887040,0,7016,562,2955.977,3.8571,<HOME>/.codex/sessions/2026/09/10/rollout-2026-09-10T17-12-47-01a08dcf-4b57-70c3-bc91-3c0de750d192.jsonl
twopairs_full_medium_6astra,GPT-6 Astra medium,gpt-6-astra,codex,medium,default,left,05,20260910_172427_paper_twopairs_full_medium_6astra_05,22,1,success,1789086270.337,1789086729.073028,1789086729.073028,1789086755.977,7.646,7.646,8.32,1,0,43,71066,2005133,1938048,0,5736,289,2010.869,2.8957,<HOME>/.codex/sessions/2026/09/10/rollout-2026-09-10T17-24-30-01a08dda-02ed-7271-8900-eafd58a67c81.jsonl
twopairs_full_medium_6astra_right,GPT-6 Astra medium,gpt-6-astra,codex,medium,default,right,02,20260910_165855_paper_twopairs_full_medium_6astra_right_02,51,1,success,1789084738.177,1789085664.615562,1789085664.615562,1789085703.13,15.441,15.441,16.25,1,0,80,120972,5789016,5666304,0,11805,3406,5800.821,7.4837,<HOME>/.codex/sessions/2026/09/10/rollout-2026-09-10T16-58-58-01a08dc2-a223-7fa0-b82c-7b9575efbf9a.jsonl
twopairs_full_high_6astra,GPT-6 Astra high,gpt-6-astra,codex,high,default,left,03,20260910_173323_paper_twopairs_full_high_6astra_03,23,1,success,1789086806.273,1789087346.465453,1789087346.465453,1789087382.632,9.003,9.003,9.82,1,0,47,85592,2576739,2493184,0,7749,685,2584.488,3.7162,<HOME>/.codex/sessions/2026/09/10/rollout-2026-09-10T17-33-26-01a08de2-305f-7b93-a92f-2bca4ef17f4b.jsonl
twopairs_full_high_6astra,GPT-6 Astra high,gpt-6-astra,codex,high,default,left,05,20260910_174339_paper_twopairs_full_high_6astra_05,22,1,success,1789087422.118,1789087897.575807,1789087897.575807,1789087928.575,7.924,7.924,8.57,1,0,72,83165,3933254,3848960,0,7668,833,3940.922,5.0753,<HOME>/.codex/sessions/2026/09/10/rollout-2026-09-10T17-43-42-01a08deb-9636-72d0-8558-e8402bf96bd3.jsonl
twopairs_full_high_6astra_right,GPT-6 Astra high,gpt-6-astra,codex,high,default,right,01,20260910_171617_paper_twopairs_full_high_6astra_right_01,21,1,unclear,1789085780.309,1789086314.312715,1789086314.312715,1789086347.286,8.9,8.9,9.52,1,0,75,81448,4015193,3934208,0,8915,1511,4024.108,5.1898,<HOME>/.codex/sessions/2026/09/10/rollout-2026-09-10T17-16-20-01a08dd2-8900-7450-b5fc-85c06c4013a7.jsonl
twopairs_full_high_6astra_right,GPT-6 Astra high,gpt-6-astra,codex,high,default,right,02,20260910_172626_paper_twopairs_full_high_6astra_right_02,26,1,success,1789086388.783,1789087025.377159,1789086978.93892,1789087042.476,10.61,9.836,11.0,2,0,56,87213,3127302,3041280,0,9727,1533,3137.029,4.3879,<HOME>/.codex/sessions/2026/09/10/rollout-2026-09-10T17-26-28-01a08ddb-d192-7050-9d6f-a842d8e7aa99.jsonl
twopairs_full_high_6astra_right,GPT-6 Astra high,gpt-6-astra,codex,high,default,right,04,20260910_173900_paper_twopairs_full_high_6astra_right_04,27,1,success,1789087142.376,1789087723.23639,1789087723.23639,1789087753.208,9.681,9.681,10.25,1,0,52,82205,2802804,2722688,0,8701,1379,2811.505,3.9589,<HOME>/.codex/sessions/2026/09/10/rollout-2026-09-10T17-39-02-01a08de7-517a-7171-b02e-38a0fb884507.jsonl
twopairs_full_high_copus5,Claude Opus 5,claude-opus-5,claude,high,default,left,01,20260910_181307_paper_twopairs_full_high_copus5_01,27,1,success,1789089189.0,1789090339.264,1789090339.264,1789090392.0,19.171,19.171,20.05,1,0,0,160759,8974513,8811428,160567,75567,35276,9050.08,7.9036,<REPO>/agp/sessions/20260910_181307_paper_twopairs_full_high_copus5_01/agent_events.jsonl
twopairs_full_high_copus5,Claude Opus 5,claude-opus-5,claude,high,default,left,03,20260910_183357_paper_twopairs_full_high_copus5_03,25,1,success,1789090439.0,1789091302.82,1789091302.82,1789091358.0,14.397,14.397,15.32,1,0,0,116233,9024298,8905739,116033,53049,26159,9077.347,6.9425,<REPO>/agp/sessions/20260910_183357_paper_twopairs_full_high_copus5_03/agent_events.jsonl
twopairs_full_high_copus5,Claude Opus 5,claude-opus-5,claude,high,default,left,05,20260910_185014_paper_twopairs_full_high_copus5_05,24,1,success,1789091416.0,1789092616.617,1789092616.617,1789092695.0,20.01,20.01,21.32,1,0,0,156097,11241620,11083197,155889,77595,43222,11319.215,9.0435,<REPO>/agp/sessions/20260910_185014_paper_twopairs_full_high_copus5_05/agent_events.jsonl
twopairs_full_high_copus5_right,Claude Opus 5,claude-opus-5,claude,high,default,right,02,20260910_181323_paper_twopairs_full_high_copus5_right_02,50,1,success,1789089205.0,1789091118.786,1789091118.786,1789091201.0,31.896,31.896,33.27,1,0,0,202143,16612891,16408408,201875,111960,69813,16724.851,13.0254,<REPO>/agp/sessions/20260910_181323_paper_twopairs_full_high_copus5_right_02/agent_events.jsonl
twopairs_full_high_copus5_right,Claude Opus 5,claude-opus-5,claude,high,default,right,04,20260910_190043_paper_twopairs_full_high_copus5_right_04,43,1,success,1789092045.0,1789093575.205,1789093575.205,1789093621.0,25.503,25.503,26.27,1,0,0,167842,15723587,15553405,167560,94895,55123,15818.482,11.8282,<REPO>/agp/sessions/20260910_190043_paper_twopairs_full_high_copus5_right_04/agent_events.jsonl
