trial,session,model,backend,effort,service_tier,interface,arms,harness,harness_version,notes_used,tools_inherited,tools_left,start,duration_s,timed_out,cmds_counted,moves_ok,gripper_cmds,failed_cmds,frames,tokens_input,tokens_cached_input,tokens_output,tokens_reasoning,cost_usd,agent_verdict,operator_verdict,remarks
01x,20260911_034835_paper_twopairs_full_high_mxro_56terra_01_INFRA_serverbug,gpt-5.6-terra,codex,high,default,full,left,none,0,mx-ro,0,0,2026-09-11 03:48:35,154,no,3,0,0,1,2,812505,741504,6473,2684,,unclear (agent),infra,INFRA not counted: mx-ro server guard refused every motion (CYCLE_FINISHED) - arm never moved; guard fixed 03:53; re-run as trial 01
01,20260911_035635_paper_twopairs_full_high_mxro_56terra_01,gpt-5.6-terra,codex,high,default,full,left,none,0,mx-ro,0,0,2026-09-11 03:56:35,1069,no,71,24,8,2,37,4787510,4629376,26661,10646,,success (agent),success,both pairs assembled (after photo checked)
02,20260911_042610_paper_twopairs_full_high_mxro_56terra_02,gpt-5.6-terra,codex,high,default,full,left,none,0,mx-ro,0,0,2026-09-11 04:26:10,678,no,54,21,4,1,28,5800810,5652224,15670,3883,,success (agent),success,both pairs assembled (after photo checked)
03x,20260911_044708_paper_twopairs_full_high_mxro_56terra_03_PROMPTBUG,gpt-5.6-terra,codex,high,default,full,left,none,0,mx-ro,0,0,2026-09-11 04:47:08,723,no,36,13,2,9,19,4862538,4693888,24604,11412,,success (agent) [parsed from the carried astra report],fail,only the round pair assembled - terra read the mx-ro prompt wording 'Stop after one verified assembly' / 'assigned ONE assembly' as one pair (hex pair deliberately untouched); wording fixed 05:00 to the sequence's own 'one verified cycle'; re-run as trial 03
03,20260911_051015_paper_twopairs_full_high_mxro_56terra_03,gpt-5.6-terra,codex,high,default,full,left,none,0,mx-ro,0,0,2026-09-11 05:10:15,1218,no,98,38,6,4,51,7253839,7051392,29912,12548,,fail (agent),fail,two failed attempts (stage record completed_cycles 0) - round pair assembled but hex collar not retained; narrow white peg tipped on its side next to the arm base (inside the 0.12 m reach limit); experiment stopped here for the operator
04,20260911_120204_paper_twopairs_full_high_mxro_56terra_04,gpt-5.6-terra,codex,high,default,full,left,none,0,mx-ro,0,0,2026-09-11 12:02:04,799,no,46,18,4,0,24,5736977,5538432,19696,4344,,success (agent),success,both pairs assembled (after photo checked); run after the operator restored the scene at ~12:00
05,20260911_122756_paper_twopairs_full_high_mxro_56terra_05,gpt-5.6-terra,codex,high,default,full,left,none,0,mx-ro,0,0,2026-09-11 12:27:56,784,no,46,18,4,0,24,5847452,5698688,17976,5075,,success (agent),success,both pairs assembled (after photo checked)
