cycle,available_experience_version,outcome,task_s,between_cycle_s,reflection_s,total_s,failed_stage_attempts,motion_calls,capture_calls,unsuccessful_commands,motion_command_wait_s,speedup_vs_cycle_1
1,0,success,512.465193712,0.0,108.914052699,621.379246411,0,25,27,3,128.208516263,1.0
2,1,success,467.9652445,46.892415327,100.11866535,614.976325177,0,23,25,1,156.393033811,1.0104116548424156
3,2,success,410.864200936,34.234435969,96.646648214,541.7452851190001,0,23,25,0,142.65818544299998,1.1469952087806496
4,3,success,395.131385304,33.721259712,96.647855442,525.500500458,0,23,25,0,142.924941032,1.1824522448017403
5,4,success,362.098826705,41.658487833,100.317583199,504.07489773699996,0,23,25,0,144.09500193500003,1.2327121409945778
